,,,,,1,2,2,3,3,5,5,6,8,7,3,2
,,,,,50,37,71,57,67,47,70,54,50,54,52,58
,,,,,245,279,313,282,261,249,306,298,318,338,376,328
,,,,,79,96,98,112,113,92,118,104,89,126,116,92
,,,,,1,0,0,0,0,0,0,1,3,0,1,1
,,,,,250,210,232,277,233,261,256,247,239,218,247,252
,,,,,465,407,493,393,440,487,496,495,475,540,545,440
,,,,,5,7,6,10,9,5,3,3,8,2,12,3
,,,,,168,146,188,171,142,175,185,152,197,150,171,186
,,,,,33,36,29,39,62,40,31,32,36,41,46,57
,,,,,267,241,233,242,190,208,190,167,195,247,319,251
,,,,,4,8,9,10,14,20,10,11,11,12,19,21
,,,,,88,84,113,91,102,82,68,69,61,53,76,60
,,,,,0,1,0,0,2,0,0,1,0,0,1,0
,,,,,2,0,3,3,1,2,1,1,0,1,1,1
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,1,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1,1,2,2,1,0,1,2,0,0,0,0
,,,,,0,0,0,1,0,1,1,1,0,0,2,0
,,,,,1,2,5,3,4,3,2,2,1,4,2,1
,,,,,2,2,3,5,1,1,1,1,0,0,3,1
,,,,,10,14,10,10,13,4,5,5,7,7,10,13
,,,,,3,1,7,4,5,3,2,1,2,3,0,0
,,,,,5,5,3,1,1,1,0,0,4,1,1,5
,,,,,0,0,0,0,0,0,0,0,0,1,0,0
,,,,,1,2,3,4,1,0,0,1,1,1,1,1
,,,,,3,3,1,2,1,0,2,1,0,1,1,1
,,,,,1,1,3,3,2,0,0,1,0,2,4,1
,,,,,1,0,0,4,0,0,0,2,0,0,0,0
,,,,,8,9,10,6,6,7,7,6,4,7,5,14
,,,,,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,0,0,0,0,0,0,1,0,1,1,0,0
,,,,,8,13,13,5,13,8,8,10,14,8,5,11
,,,,,0,3,2,1,3,2,1,2,1,2,3,2
,,,,,4,2,2,1,3,1,1,4,2,1,2,1
Vehicle Offences,Hackney,3774,,,5,12,6,8,5,14,11,11,8,12,9,10
,,,,,17,20,18,22,25,29,22,17,27,25,19,14
,,,,,65,78,77,103,96,97,112,73,90,110,113,75
,,,,,14,22,13,13,15,22,19,23,19,24,20,27
Violence Against the Person,Hackney,7765,,,0,1,0,0,0,1,0,0,0,0,0,0
,,,,,7,4,4,5,15,5,2,5,14,11,10,14
,,,,,116,101,126,115,134,145,146,106,137,164,176,158
Arson and Criminal Damage,Hammersmith and Fulham,1349,,,27,29,23,24,43,36,41,30,22,19,36,25
,,,,,24,17,18,24,22,26,26,22,21,34,19,24
Burglary,Hammersmith and Fulham,1879,,,14,18,9,13,24,20,36,58,25,16,11,12
,,,,,255,289,273,250,262,291,293,266,256,299,250,241
